ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-23,204.57968658096223,187.75718659536028,233.43288387778293,204.57968658096223,204.57968658096223,6.013684567138459,6.013684567138459,6.013684567138459,6.013684567138459,6.013684567138459,6.013684567138459,0.0,0.0,0.0,210.5933711481007
2024-01-24,204.03733181351373,187.34779630628688,232.20220927323385,204.03733181351373,204.03733181351373,5.485970907467448,5.485970907467448,5.485970907467448,5.485970907467448,5.485970907467448,5.485970907467448,0.0,0.0,0.0,209.52330272098118
2024-01-25,203.4949770460652,184.75306675952532,229.704874168319,203.4949770460652,203.4949770460652,4.12134466229966,4.12134466229966,4.12134466229966,4.12134466229966,4.12134466229966,4.12134466229966,0.0,0.0,0.0,207.61632170836486
2024-01-26,202.9526222786167,184.23511826151216,230.06423738134632,202.9526222786167,202.9526222786167,4.392535462079432,4.392535462079432,4.392535462079432,4.392535462079432,4.392535462079432,4.392535462079432,0.0,0.0,0.0,207.34515774069612
2024-01-29,201.32555797627123,183.1563306794784,226.0052641302512,201.32555797627123,201.32555797627123,3.933569211761773,3.933569211761773,3.933569211761773,3.933569211761773,3.933569211761773,3.933569211761773,0.0,0.0,0.0,205.259127188033
2024-01-30,200.78320320882275,185.46671983742175,230.29239544355474,200.78320320882275,200.78320320882275,6.013684567142593,6.013684567142593,6.013684567142593,6.013684567142593,6.013684567142593,6.013684567142593,0.0,0.0,0.0,206.79688777596536
2024-01-31,200.24084840403327,183.24671538003113,227.50569366637725,200.24084840403327,200.24084840403327,5.48597090746704,5.48597090746704,5.48597090746704,5.48597090746704,5.48597090746704,5.48597090746704,0.0,0.0,0.0,205.72681931150032
2024-02-01,199.69849359924387,179.61924459333736,225.8273270596376,199.69849359924387,199.69849359924387,4.121344662297442,4.121344662297442,4.121344662297442,4.121344662297442,4.121344662297442,4.121344662297442,0.0,0.0,0.0,203.81983826154132
2024-02-02,199.15613879445442,181.43477938987488,226.55043324880185,199.15613879445442,199.15613879445442,4.39253546206903,4.39253546206903,4.39253546206903,4.39253546206903,4.39253546206903,4.39253546206903,0.0,0.0,0.0,203.54867425652344
2024-02-05,197.52907438008614,177.7919686266668,223.51511223730077,197.52907438008614,197.52907438008614,3.933569211761647,3.933569211761647,3.933569211761647,3.933569211761647,3.933569211761647,3.933569211761647,0.0,0.0,0.0,201.46264359184778
